product_id,id_web
4722,15880
4180,15783
5891,15774
5375,15755
6884,15735
4793,15730
4217,15672
6578,15647
4205,15413
5826,15325
4227,15261
5816,15237
5546,15202
4607,15146
5742,15125
4304,15120
6049,14899
5002,14580
5810,14429
4908,14395
5806,13567
4350,12588
4356,12585
5703,11736
4932,9937
4146,1360
4631,791
4577,
4744,
7081,
4225,16497
5480,16306
4297,16246
4179,16166
4870,16149
4095,16120
4674,16056
4056,16029
4208,16024
4084,16014
4307,15946
4646,15848
6328,15810
4102,15767
4222,15759
6325,15678
6094,15486
4163,15482
4927,15425
5069,15344
6038,15318
6753,15256
5818,15241
6126,14923
4975,14756
4708,14700
6204,14604
6129,14570
5379,14561
4256,14253
4904,14220
6106,14106
4235,13905
5389,13904
5796,13895
4272,13089
4073,13074
5024,11996
4657,11847
4619,11049
6738,8193
4149,7086
4636,2361
4721,
4738,
4874,
6901,
7168,
7193,
7203,
4965,16586
5951,16472
4068,16416
4931,16280
4188,16265
6663,16152
5486,16130
4711,16119
4900,16063
4057,16039
6073,15951
7025,15887
5000,15868
5520,15863
5904,15856
4891,15807
4168,15784
6572,15704
4604,15660
4202,15655
6280,15654
4912,15612
6618,15539
4671,15527
4566,15457
5950,15432
4204,15414
4098,15378
5829,15329
6223,15324
3849,15296
5820,15240
5010,15073
6216,15070
5704,15036
4260,14945
5610,14912
5916,14774
5694,14661
4791,14599
5448,14469
4869,14360
5902,14095
4597,14000
4910,13809
4690,13659
4573,13604
4654,13514
4353,12587
5801,11277
4402,3510
4195,
6866,
7088,
7131,
4032,19814
5479,16305
4059,16275
4865,16274
4269,16244
5779,16213
4172,16210
5465,16034
4086,16013
4620,15850
6137,15834
6635,15763
5564,15748
4784,15734
4728,15729
6569,15705
4280,15690
5021,15630
4596,15476
4753,15429
4108,15353
5922,15343
4138,15341
4789,15316
5767,15185
5772,15180
4605,15148
5715,14982
5613,14855
4241,14725
4752,14184
6104,14092
5547,13959
5957,13577
4655,13516
4078,13435
4405,13230
4730,5646
4337,4679
4634,41
4233,
4578,
4911,
6125,
6327,
6902,
4050,16449
4858,16342
4062,16320
4058,16318
4933,16281
4649,16261
4615,16186
4734,16138
4158,16093
4066,15967
4352,15940
5615,15923
5956,15895
4786,15881
4799,15811
6631,15795
4244,15770
6568,15707
5706,15674
5439,15649
4921,15608
4733,15576
4215,15480
6575,15479
4231,15461
4714,15361
5068,15345
4040,15303
5770,15178
6213,15072
4568,15065
4065,15022
4726,14950
4584,14785
5777,14338
4779,14300
5914,14265
6103,14100
6101,14089
5554,13969
5026,13913
4393,13765
4689,13736
4336,13599
4303,13172
4076,13072
4355,12589
5398,12315
4395,11587
4391,11467
4396,9636
6222,7032
4697,
5560,
7015,
7200,
7204,
4301,16553
4060,16498
4686,16324
4166,16124
6666,16067
4899,16062
4669,16053
4681,15933
5906,15857
4893,15808
6628,15792
4159,15668
4192,15605
4096,15564
4067,15490
5394,15462
4046,15269
5912,15227
5722,15026
5616,14845
5525,14819
5794,14692
5817,14600
4797,14506
5712,14241
5391,14141
5903,14099
4783,13754
4053,13127
4081,13117
5905,12881
4582,12857
5630,12365
5899,12339
5383,3383
4626,807
4628,802
4209,
5075,
6875,
7009,
7132,
7194,
4954,bon-cadeau-25-euros
6206,16580
4964,16515
4085,16462
4063,16319
4937,16283
4867,16148
5487,16129
6221,16096
4862,16047
4725,16010
4723,15879
5003,15869
5522,15861
5797,15688
4922,15586
5807,15471
4703,15465
4939,15338
5815,15238
4216,15213
6226,15161
4265,15136
4612,15038
4251,15032
5545,14827
5559,14715
5001,14581
4684,14451
5550,13958
5551,13957
4100,13416
5397,12496
6214,11601
4406,7819
4629,2534
4633,804
5047,531
5932,523
4141,304
4092,
4594,
4599,
5569,
5805,
5808,
6864,
6909,
